extinction_group,canonical_index,canonical_symbol,crystal_system,bitstring,active_features
14,13,"P - a b (equiv: P - c a, P b - a, P b c -, P c - b, P c a -)",Orthorhombic,0010000100000000000000000100000010000,Sys_Orthorhombic;Lattice_P;Pos2_a;Pos3_b
15,14,"P - a n (equiv: P - n a, P b - n, P c n -, P n - b, P n c -)",Orthorhombic,0010000100000000000000000100000000010,Sys_Orthorhombic;Lattice_P;Pos2_a;Pos3_n
16,15,"P - c b (equiv: P b a -, P c - a)",Orthorhombic,0010000100000000000000000001000010000,Sys_Orthorhombic;Lattice_P;Pos2_c;Pos3_b
17,16,"P - c n (equiv: P - n b, P b n -, P c - n, P n - a, P n a -)",Orthorhombic,0010000100000000000000000001000000010,Sys_Orthorhombic;Lattice_P;Pos2_c;Pos3_n
18,17,"P - n n (equiv: P n - n, P n n -)",Orthorhombic,0010000100000000000000000000010000010,Sys_Orthorhombic;Lattice_P;Pos2_n;Pos3_n
19,18,"P b a a (equiv: P b a b, P b c b, P c a a, P c c a, P c c b)",Orthorhombic,0010000100000000000010000100000100000,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_a;Pos3_a
20,19,"P b a n (equiv: P c n a, P n c b)",Orthorhombic,0010000100000000000010000100000000010,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_a;Pos3_n
21,20,P b c a (equiv: P c a b),Orthorhombic,0010000100000000000010000001000100000,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_c;Pos3_a
22,21,"P b c n (equiv: P b n a, P c a n, P c n b, P n a b, P n c a)",Orthorhombic,0010000100000000000010000001000000010,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_c;Pos3_n
23,22,"P b n b (equiv: P c c n, P n a a)",Orthorhombic,0010000100000000000010000000010010000,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_n;Pos3_b
24,23,"P b n n (equiv: P c n n, P n a n, P n c n, P n n a, P n n b)",Orthorhombic,0010000100000000000010000000010000010,Sys_Orthorhombic;Lattice_P;Pos1_b;Pos2_n;Pos3_n
25,24,P n n n,Orthorhombic,0010000100000000000000010000010000010,Sys_Orthorhombic;Lattice_P;Pos1_n;Pos2_n;Pos3_n
26,25,"C - - - (equiv: B - - -, A - - -)",Orthorhombic,0010000000100000000000000000000000000,Sys_Orthorhombic;Lattice_C
27,26,"C - - 21 (equiv: B - 21 -, A 21 - -)",Orthorhombic,0010000000100000000000000000001000000,Sys_Orthorhombic;Lattice_C;Pos3_21
28,27,"C - - (ab) (equiv: B - (ac)-, A(bc)- -)",Orthorhombic,0010000000100000000000000000000000001,Sys_Orthorhombic;Lattice_C;Pos3_ab
29,28,"C - c - (equiv: C c - -, B - - b, B b - -, A - - a, A - a -)",Orthorhombic,0010000000100000000000000001000000000,Sys_Orthorhombic;Lattice_C;Pos2_c
30,29,"C - c (ab) (equiv: C c - (ab), B - (ac)b, B b (ac)-, A(bc)- a, A(bc)a -)",Orthorhombic,0010000000100000000000000001000000001,Sys_Orthorhombic;Lattice_C;Pos2_c;Pos3_ab
31,30,"C c c - (equiv: B b - b, A - a a)",Orthorhombic,0010000000100000000001000001000000000,Sys_Orthorhombic;Lattice_C;Pos1_c;Pos2_c
32,31,"C c c (ab) (equiv: B b (ac)b, A(bc)a a)",Orthorhombic,0010000000100000000001000001000000001,Sys_Orthorhombic;Lattice_C;Pos1_c;Pos2_c;Pos3_ab
33,32,I - - -,Orthorhombic,0010000010000000000000000000000000000,Sys_Orthorhombic;Lattice_I
34,33,"I - - (ab) (equiv: I - (ac)-, I(bc)- -)",Orthorhombic,0010000010000000000000000000000000001,Sys_Orthorhombic;Lattice_I;Pos3_ab
35,34,"I - c b (equiv: I c - a, I b a -)",Orthorhombic,0010000010000000000000000001000010000,Sys_Orthorhombic;Lattice_I;Pos2_c;Pos3_b
36,35,I b c a,Orthorhombic,0010000010000000000010000001000100000,Sys_Orthorhombic;Lattice_I;Pos1_b;Pos2_c;Pos3_a
37,36,F - - -,Orthorhombic,0010000001000000000000000000000000000,Sys_Orthorhombic;Lattice_F
38,37,"F - d d (equiv: F d - d, F d d -)",Orthorhombic,0010000001000000000000000000100000100,Sys_Orthorhombic;Lattice_F;Pos2_d;Pos3_d
39,38,F d d d,Orthorhombic,0010000001000000000000100000100000100,Sys_Orthorhombic;Lattice_F;Pos1_d;Pos2_d;Pos3_d
40,39,P - - -,Tetragonal,0001000100000000000000000000000000000,Sys_Tetragonal;Lattice_P
41,40,P - 21 -,Tetragonal,0001000100000000000000001000000000000,Sys_Tetragonal;Lattice_P;Pos2_21
42,41,P 42 - -,Tetragonal,0001000100000001000000000000000000000,Sys_Tetragonal;Lattice_P;Pos1_42
