2theta,intensity
12.55,46.98972
12.56,76.3583
12.57,64.61086
12.58,64.61086
12.59,61.674007
12.6,70.48458
12.61,57.268723
12.62,64.61086
12.63,58.737152
12.64,55.800293
12.65,54.331863
12.66,45.521294
12.67,69.01615
12.68,55.800293
12.69,67.54772
12.7,64.61086
12.71,42.584435
12.72,71.95301
12.73,69.01615
12.74,61.674007
12.75,52.863438
12.76,70.48458
12.77,39.647575
12.78,82.23201
12.79,63.142437
12.8,55.800293
12.81,60.20558
12.82,63.142437
12.83,57.268723
12.84,58.737152
12.85,52.863438
12.86,66.07929
12.87,57.268723
12.88,52.863438
12.89,67.54772
12.9,63.142437
12.91,42.584435
12.92,79.29515
12.93,76.3583
12.94,55.800293
12.95,60.20558
12.96,54.331863
12.97,51.395008
12.98,45.521294
12.99,77.82673
13.0,66.07929
13.01,46.98972
13.02,55.800293
13.03,45.521294
13.04,66.07929
13.05,61.674007
13.06,69.01615
13.07,51.395008
13.08,45.521294
13.09,48.45815
13.1,45.521294
13.11,70.48458
13.12,46.98972
13.13,73.42144
13.14,49.92658
13.15,52.863438
13.16,70.48458
13.17,55.800293
13.18,83.70044
13.19,51.395008
13.2,63.142437
13.21,63.142437
13.22,58.737152
13.23,58.737152
13.24,55.800293
13.25,54.331863
13.26,58.737152
13.27,67.54772
13.28,51.395008
13.29,48.45815
13.3,64.61086
13.31,77.82673
13.32,82.23201
13.33,58.737152
13.34,69.01615
13.35,61.674007
13.36,73.42144
13.37,58.737152
13.38,51.395008
13.39,58.737152
13.4,73.42144
13.41,71.95301
13.42,46.98972
13.43,63.142437
13.44,61.674007
13.45,51.395008
13.46,57.268723
13.47,42.584435
13.48,64.61086
13.49,73.42144
13.5,64.61086
13.51,52.863438
13.52,71.95301
13.53,61.674007
13.54,67.54772
13.55,79.29515
13.56,57.268723
13.57,58.737152
13.58,67.54772
13.59,66.07929
13.6,48.45815
13.61,63.142437
13.62,61.674007
13.63,55.800293
13.64,60.20558
13.65,46.98972
13.66,58.737152
13.67,55.800293
13.68,44.052864
13.69,51.395008
13.7,55.800293
13.71,80.76358
13.72,64.61086
13.73,58.737152
13.74,46.98972
13.75,63.142437
13.76,73.42144
13.77,49.92658
13.78,66.07929
13.79,60.20558
13.8,52.863438
13.81,64.61086
13.82,51.395008
13.83,85.16887
13.84,66.07929
13.85,61.674007
13.86,57.268723
13.87,60.20558
13.88,63.142437
13.89,61.674007
13.9,49.92658
13.91,63.142437
13.92,58.737152
13.93,58.737152
13.94,55.800293
13.95,54.331863
13.96,61.674007
13.97,60.20558
13.98,52.863438
13.99,54.331863
14.0,55.800293
14.01,46.98972
14.02,80.76358
14.03,52.863438
14.04,64.61086
14.05,52.863438
14.06,51.395008
14.07,67.54772
14.08,60.20558
14.09,52.863438
14.1,63.142437
14.11,51.395008
14.12,58.737152
14.13,57.268723
14.14,55.800293
14.15,61.674007
14.16,69.01615
14.17,60.20558
14.18,51.395008
14.19,46.98972
14.2,74.88987
14.21,49.92658
14.22,70.48458
14.23,57.268723
14.24,77.82673
14.25,60.20558
14.26,61.674007
14.27,45.521294
14.28,69.01615
14.29,67.54772
14.3,55.800293
14.31,55.800293
14.32,58.737152
14.33,52.863438
14.34,51.395008
14.35,74.88987
14.36,57.268723
14.37,63.142437
14.38,67.54772
14.39,44.052864
14.4,58.737152
14.41,41.116005
14.42,54.331863
14.43,66.07929
14.44,46.98972
14.45,54.331863
14.46,52.863438
14.47,69.01615
14.48,57.268723
14.49,54.331863
14.5,73.42144
14.51,66.07929
14.52,66.07929
14.53,70.48458
14.54,66.07929
14.55,46.98972
14.56,60.20558
14.57,45.521294
14.58,49.92658
14.59,63.142437
14.6,46.98972
14.61,79.29515
14.62,63.142437
14.63,71.95301
14.64,69.01615
14.65,54.331863
14.66,73.42144
14.67,57.268723
14.68,52.863438
14.69,64.61086
14.7,45.521294
14.71,44.052864
14.72,52.863438
14.73,42.584435
14.74,55.800293
14.75,86.6373
14.76,61.674007
14.77,54.331863
14.78,63.142437
14.79,48.45815
14.8,46.98972
14.81,64.61086
14.82,42.584435
14.83,60.20558
14.84,63.142437
14.85,82.23201
14.86,76.3583
14.87,46.98972
14.88,70.48458
